"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"569","49.118192","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"573","49.910256","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"575","50.350245","2.1.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"577","50.430306","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"581","52.366599","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"583","52.638633","2.1.1","host","USB","35","0200150000000000","URB_INTERRUPT in"
"585","52.734538","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"587","53.654763","2.1.1","host","USB","35","0200170000000000","URB_INTERRUPT in"
"589","53.750651","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"591","54.278842","2.1.1","host","USB","35","02001c0000000000","URB_INTERRUPT in"
"593","54.374705","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"595","55.446979","2.1.1","host","USB","35","0200300000000000","URB_INTERRUPT in"
"597","55.526975","2.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"601","56.199079","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"605","58.151329","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"609","58.335352","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"613","58.519224","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"617","58.743283","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"621","58.927436","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"625","59.279473","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"629","59.415475","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"633","59.719519","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"637","59.935540","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"641","60.239591","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"645","60.503626","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"649","60.671646","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"653","60.927676","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"657","61.111680","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"659","61.207609","2.1.1","host","USB","35","00000b0c00000000","URB_INTERRUPT in"
"661","61.231718","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"665","61.383730","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"669","61.503649","2.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"673","61.695774","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"677","61.927703","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"681","62.103810","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"685","62.271745","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"689","62.599786","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"693","62.903921","2.1.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"697","63.223814","2.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"701","63.415990","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"705","64.496106","2.1.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"709","65.128190","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"713","65.344211","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"717","65.712281","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"721","66.304330","2.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"725","66.440249","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"729","66.664396","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"733","68.840551","2.1.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"737","69.208724","2.1.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"741","70.016701","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"745","70.640801","2.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"749","70.920905","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"753","71.208824","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"757","71.512990","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"761","71.760923","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"765","71.960924","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"769","72.185078","2.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"773","72.377121","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"777","72.673157","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"781","72.937189","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"785","73.185199","2.1.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"789","73.345240","2.1.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"793","73.577274","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"797","73.753170","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"801","74.025178","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"805","74.289364","2.1.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"809","74.441383","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"813","74.649411","2.1.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"817","75.025348","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"819","75.129473","2.1.1","host","USB","35","0000160800000000","URB_INTERRUPT in"
"821","75.145481","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"825","75.433486","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"829","76.201600","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"833","76.801559","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"837","77.033709","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"841","77.233734","2.1.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"845","77.465762","2.1.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"849","77.705802","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"853","77.985833","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"857","78.145746","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"861","78.337850","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"865","78.433873","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"867","78.505800","2.1.1","host","USB","35","00000c1200000000","URB_INTERRUPT in"
"869","78.569893","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"871","78.609897","2.1.1","host","USB","35","0000121100000000","URB_INTERRUPT in"
"873","78.657793","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"877","79.105869","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"881","79.337998","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"885","79.826041","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"889","80.034070","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"893","80.194105","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"897","80.418106","2.1.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"901","80.650167","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"905","80.954081","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"909","81.090199","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"913","81.282092","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"917","81.482246","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"921","81.778306","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"925","81.970227","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"929","82.330275","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"933","82.522394","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"937","82.762429","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"941","83.010464","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"945","83.154482","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"949","83.290501","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"953","83.498523","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"957","83.746432","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"961","84.146544","2.1.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"965","84.434637","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"969","84.642669","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"971","84.754654","2.1.1","host","USB","35","0000121000000000","URB_INTERRUPT in"
"973","84.794686","2.1.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"977","84.970568","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"981","85.954831","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"985","86.138789","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"989","86.498881","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"993","86.626916","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"997","86.786940","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1001","86.994946","2.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"1005","87.290974","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1009","87.418868","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1013","87.586901","2.1.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1017","87.699037","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1021","88.243120","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"1025","88.627018","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1029","88.747192","2.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1033","89.027220","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"1037","89.187146","2.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1041","89.347265","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1045","89.579291","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1049","90.859326","2.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1053","91.003370","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1057","91.131459","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1061","91.211394","2.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1065","91.427524","2.1.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"1069","91.555538","2.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1073","91.811563","2.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"1077","91.947465","2.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1081","92.163601","2.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"1085","92.387642","2.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1089","92.507655","2.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1093","92.803693","2.1.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1097","94.627824","2.1.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
